code	ds_type	max_v	min_v	name	node	node_idx	price	sub_division	idx	node_id	OUID	GasSort	SalesClientID	SupplyCategoryID	ClientStationID	ProvinceID	SalesType	ImportGasSourceType	TradeProp	GasDomestic
3779319687922319360	demand	0.0	0.0	A00000221	A00000222	3779318280578138112	17155.96	0	134	559	XSNF0008	10001		CS000001	ZDGN0570	PROV0029	2.0	null	null	null
3779319691596529664	demand	32.3596	32.3596	A00000223	A00000224	3779318280582332416	17155.96	0	135	560	XSNF0008	10001		CS000001	ZDGN0611	PROV0029	2.0	null	null	null
3779319691596529665	demand	0.0	0.0	A00000225	A00000224	3779318280582332416	17155.96	0	136	560	XSNF0008	10003		CS000001	ZDGN0611	PROV0029	2.0	null	null	null
3779319694654177280	demand	83.75423	83.75423	A00000226	A00000227	3779318280544583680	17155.96	0	137	554	XSNF0008	10001		CS000001	ZDGN0614	PROV0029	2.0	null	null	null
3779319694658371584	demand	0.0	0.0	A00000228	A00000227	3779318280544583680	17155.96	0	138	554	XSNF0008	10002		CS000001	ZDGN0614	PROV0029	2.0	null	null	null
3779319696243818496	demand	6.927433	6.927433	A00000229	A00000230	3779318280548777984	17155.96	0	139	555	XSNF0008	10001		CS000001	ZDGN0616	PROV0029	2.0	null	null	null
3779319699037224960	demand	0.0	0.0	A00000231	A00000232	3779318280964014080	14587.16	0	140	618	XSNF0007	10001		CS000001	ZDGN0221	PROV0028	2.0	null	null	null
3779319701033713664	demand	0.0	0.0	A00000233	A00000234	3779318280456503296	14587.16	0	141	541	XSNF0007	10007		CS000001	ZDGN0431	PROV0028	2.0	null	null	null
3779319701037907968	demand	0.0	0.0	A00000235	A00000234	3779318280456503296	14587.16	0	142	541	XSNF0007	10001		CS000001	ZDGN0431	PROV0028	2.0	null	null	null
3779319704032641024	demand	0.0	0.0	A00000236	A00000237	3779318280150319104	14587.16	0	143	498	XSNF0007	10001		CS000001	ZDGN0456	PROV0028	2.0	null	null	null
3779319704032641025	demand	0.0	0.0	A00000238	A00000237	3779318280150319104	14587.16	0	144	498	XSNF0006	10001		CS000001	ZDGN0456	PROV0027	2.0	null	null	null
3779319707270643712	demand	13.64589	13.64589	A00000239	A00000240	3779318280158707712	14587.16	0	145	499	XSNF0007	10001		CS000001	ZDGN0457	PROV0028	2.0	null	null	null
3779319709309075456	demand	10.4443	10.4443	A00000241	A00000242	3779318280129347584	14587.16	0	146	495	XSNF0007	10001		CS000001	ZDGN0458	PROV0028	2.0	null	null	null
3779319712916176896	demand	1.952011	1.952011	A00000243	A00000244	3779318280137736192	14587.16	0	147	496	XSNF0007	10001		CS000001	ZDGN0459	PROV0028	2.0	null	null	null
3779319714585509888	demand	52.32667	52.32667	A00000245	A00000246	3779318280326479872	14587.16	0	148	522	XSNF0007	10001		CS000001	ZDGN0460	PROV0028	2.0	null	null	null
3779319717882232832	demand	1.178654	1.178654	A00000247	A00000248	3779318280309702656	14587.16	0	149	520	XSNF0007	10001		CS000001	ZDGN0493	PROV0028	2.0	null	null	null
3779319724580536320	demand	74.7386	74.7386	A00000249	A00000250	3779318280318091264	14587.16	0	150	521	XSNF0007	10001		CS000001	ZDGN0494	PROV0028	2.0	null	null	null
